微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
FBTHG8ZuL,老爸发来张我初中 80 周年校庆的照片，一头灰发的现任校长竟是当年满脸青春痘的物理老师。照片不知道有没有美过颜，一脸嫩白丝毫看不出当年斑驳的痘痕。  ,无,无,2017-12-29 15:57,微博 weibo.com,5,1,3
FzUcCmbd3,42” 的显示器写代码有点儿太大了，亲测…  ,无,无,2017-12-16 13:32,微博 weibo.com,3,1,13
FnPQVxHFZ,祝你生日快乐  ,无,无,2017-09-28 04:24,生日动态,12,0,4
FgzwUnLmK,Shanghai Apache Spark Meetup第十三次聚会 http://t.cn/R9Rd1eD  由英特尔和银伞数据学城（Datumb）共同主办。座位有限，报名从速！  ,无,无,2017-08-11 09:59,Weibo.intl,4,2,0
F9y5TEPp3,上周 team lunch，回程路上看到一个拎包的美国大爷。背后望去，全身上下除了鞋袜，不着寸缕。后来拐弯过马路时才注意到好歹下身前方还是遮挡了一下。该大爷走在街上面不改色，除了衣着，跟寻常路人别无二致，旁人竟也毫无反应。不过同行的美国同事看到后也还是相当惊讶的。三藩真是个神奇的城市啊…  ,无,无,2017-06-26 05:27,微博 weibo.com,4,0,5
F7C1dzZdM,Spark Summit 2017 视频已在 YouTube 上线（请自备天梯） http://t.cn/RSrff5A  ,无,无,2017-06-13 11:46,微博 weibo.com,9,11,1
EDZ57dB82,@RednaxelaFX Welcome!!!  [组图共2张] 原图 ,"http://ww4.sinaimg.cn/large/7045e02dgy1feijaql44aj20w80jmtpi.jpg,http://ww3.sinaimg.cn/large/7045e02dgy1feijatoutfj20fm0pyth1.jpg",无,2017-04-11 10:35,微博 weibo.com,24,27,10
EDoXF9vlK,MOOC: Introduction to programming with dependent types in Scala http://t.cn/R6rHRqU 讲师的口音里好像隐约有股亲切的东北大碴子味儿   ,无,无,2017-04-07 14:37,微博 weibo.com,4,6,0
EncChDfZX,Ocean Oriented Programming  原图 ,http://ww3.sinaimg.cn/large/7045e02djw1fayxx9sz7vj21kw16o4c6.jpg,无,2016-12-22 01:47,手机微博触屏版,24,1,3
EdxAbqhEm,今天一个欧洲的游戏开发者联系我，说我的一个用 Boost.Asio 写的 C++ 异步 MySQL 客户端库很好用。然而这个库是我七年前练手写的，从来没维护过，没有文档，连 README 都没，我自己都从来没在任何正经项目上用过它，竟然被评价 amazing… 重点是，这样状态的一个库，哥们儿你们竟然敢用在生产上！  ,无,无,2016-10-19 12:46,微博 weibo.com,43,11,12
EbHOhlXwN,开启 Google 街景远程看房模式。  ,无,无,2016-10-07 11:08,微博 weibo.com,6,0,10
EbiGHgJb8,恭喜来自 IBM 的李潇 @smilegator 成为 Spark committer！一年多来，他在 Spark SQL 方面作出了非常活跃的贡献。  ,无,无,2016-10-04 19:10,微博 weibo.com,18,4,4
EaHIIALuC,NetHack 真是编译、测试、benchmark 最佳伴侣游戏。尤其是资源消耗几乎为零，对本地跑的 benchmark 结果根本没影响。  ,无,无,2016-09-30 21:04,微博 weibo.com,3,5,0
E3uKZiYGk,08 年 3 月到 16 年 8 月：中关村半年，上地三年半，赋闲一年，知春里一年，在家和星巴克远程办公两年半。北漂 8 年多，昨天终于画上句号。  ,无,无,2016-08-14 11:12,微博 weibo.com,85,17,41
E0Vvugimt,Github Major Service Outage http://t.cn/RttjCVW  原图 ,http://ww1.sinaimg.cn/large/7045e02dgw1f69km3w3cuj20sg0j4aeo.jpg,无,2016-07-28 13:47,微博 weibo.com,1,0,6
E0b5an0rY,由于经常需要并行开发多个 Spark 分支，过去两年多一直是 clone 多个本地 repo，浪费空间不说，多个 repo 间同步也不方便。今天彻底切换到 Git worktree，方便多了：多个本地工作目录各自 checkout 不同分支但又同属一个 repo，省去了同步问题。最赞的是新版本的 IDEA 也支持 worktree 了。  ,无,无,2016-07-23 15:35,微博 weibo.com,19,6,4
DyTXDDJfb,心血来潮在家下星际 II 下到一半忘了关，在 UCB 校内竟然下载速度到 30+ MB/s，这网络真是太良心了，不愧是 socket API 诞生地啊  ,无,无,2016-06-06 01:37,微博 weibo.com,15,0,8
DwN0DfTBR,在电话里给老外客服报 email 实在是太痛苦了，报十遍都听不对。于是好好学了下这个 ICAO/ITU/NATO Spelling Alphabet http://t.cn/R57HnPo  ,无,无,2016-05-23 04:14,微博 weibo.com,12,5,5
Du9kxskpH,没想到周末随手放到 GitHub 上的 EoPL3 的作业还有人帮我订正   ,无,无,2016-05-05 19:33,微博 weibo.com,6,1,1
DtPDmsZBy,改了一个 typo，然后 test 挂了，原来是从 Hive 里“继承”下来的 typo  http://t.cn/RqHs3jp  ,无,无,2016-05-03 17:24,微博 weibo.com,5,0,2
DsN5pjCvq,自打在知乎和 Twitter 上 follow 了几个技术圈的 90 后，timeline 上每天都有大概 1/5 是各种二次元和 gal game 内容   ,无,无,2016-04-26 21:05,微博 weibo.com,11,2,10
Ds0VCmxK9,2016 年中国 Spark 技术峰会将于 5.15 在北京召开。我和两位 Databricks 的同事，Spark 开源软件栈 PM 及 Spark PMC 成员 Ram，还有 Spark committer 范文臣 @cloud__fan 将和大家分享 Spark 2.0 的最新进展。欢迎参会！大会主页 http://t.cn/RqCJK4E 议题介绍 http://t.cn/RqCqUNO  [组图共3张] 原图 ,"http://ww3.sinaimg.cn/large/7045e02djw1f34i1dz8klj20ci0m8gn6.jpg,http://ww1.sinaimg.cn/large/7045e02dgw1f34i1c2ytej20ku112aex.jpg,http://ww1.sinaimg.cn/large/7045e02dgw1f34i1nchorj20ci0m875u.jpg",无,2016-04-21 18:29,微博 weibo.com,20,33,5
DooMeF5AV,被 GFW 折腾到吐血，万般无奈之下祭出 GPG  ,无,无,2016-03-28 23:50,微博 weibo.com,2,0,4
Db03GyfyA,2015 年最后一个 PR http://t.cn/R4MHFeO 把 Spark SQL 的 logical plan 转回 SQL query string。第一个版本还非常糙，不过想像空间还挺大的 :)  ,无,无,2015-12-31 21:01,微博 weibo.com,4,2,4
D7jPDD98V,北京再次重度雾霾橙色预警。快圣诞了，全北京人民 cosplay 圣诞老人爬烟囱。  ,无,无,2015-12-07 16:00,微博 weibo.com,1,1,4
D6J6K8GMx,近期几次发现 rMBP 插着电源却不充电，一路跌倒 5%，然后降频，系统速度明显减缓。查了一圈，貌似是因为总开着 IDEA、SBT、Hadoop 导致机器过热，于是就不充电了… 停下来歇会儿，就回到 6%，一干活又跌   ,无,无,2015-12-03 18:30,微博 weibo.com,1,1,13
CyHtQrgyA,两年没写 C++，原来 C++ 都有 dependency management tool 了 http://t.cn/RyA4TUc  ,无,无,2015-09-02 19:06,微博 weibo.com,4,41,11
CxErwrijT,gist.github.com 疑似被 SSL 劫持了，翻墙则无碍。拜托劫持也劫持得专业一点好嘛，被 Firefox 嘲弄了：An error occurred during a connection to gist.github.com. The server certificate included a public key that was too weak.  ,无,无,2015-08-26 21:32,微博 weibo.com,8,7,2
Cxu01aGht,GitHub 半天打不开，于是查了下 status： > 18:38 CST The connectivity problems have been identified as a DDoS attack. We're working to mitigate now.  ,无,无,2015-08-25 18:56,微博 weibo.com,4,36,1
CwKj2xPI9,算起来，修 Spark SQL 的 Parquet 支持修了有大半年了。今天又查出一个兼容性的 corner case，突然想起卡勒波特这幅刨地板工人，简直太适合拿来做工作总结   原图 ,http://ww4.sinaimg.cn/large/7045e02dgw1ev9gbpiwwej20hs0ciwfn.jpg,无,2015-08-20 22:37,微博 weibo.com,12,7,8
Cw7Fzx6c5,借助 ptpython 三个命令实现终端下 PySpark 代码高亮和代码补全：pip install ptpython; export PYSPARK_DRIVER_PYTHON=ptpython; $SPARK_HOME/bin/pyspark  ,无,无,2015-08-16 20:15,微博 weibo.com,8,20,4
CvGTH2q5g,最新的 Spark JIRA number 是 9940，估计后天就能看到 SPARK-10000 了   ,无,无,2015-08-14 00:06,微博 weibo.com,9,4,1
CtRvbsl8D,自打号召降费提速以后，网络状况就日益恶劣，现在 Maven 依赖下载始终徘徊在 ~20 KB/s，只有早上六七点的时候能回升到 ~150 KB/s。前段时间收到某 VPN 厂商的邮件解释，说是近期网络拥堵是因为各运营商降了资费、捞了大把新用户，却没来得及升级主干网硬件，于是变成了降费降速，唉…  ,无,无,2015-08-01 23:25,微博 weibo.com,4,10,3
CrQxfdHwm,发现 Apache committer 的一大福利是 VPN 失效的时候可以利用 people.apache.org 打 SSH 隧道…  ,无,无,2015-07-19 17:17,微博 weibo.com,12,4,8
CmJj2A2dN,因为头发长了，在 #SparkSummit# 会场被 @卢亿雷 误认作 @明风Andy   ,无,无,2015-06-16 01:41,Android客户端,14,0,5
CkNzXnPIY,四月底 QCon 北京上 Catalyst talk 的 slides http://t.cn/R2XDHj2 这个 talk 里通过一个 Brainfuck optimizing compiler 讲解了 Catalyst 的构造和原理。整个 toy compiler 不到 300 行，包括一个完整的简化版 Catalyst http://t.cn/R2XDHjz 优化前后性能差距达到 50 倍  ,无,无,2015-06-03 08:53,微博 weibo.com,3,23,2
CgJFpsK1P,之前不少 Spark SQL 的用户都在问什么时候支持 window function，由亚信的郭巍 @sauce_pan 和 Databricks 的槐寅共同协作完成的 Spark SQL window function 支持已经 merge 到 1.4 分支了 http://t.cn/RA1R9Ur cc @亚信科技-田毅  ,无,无,2015-05-07 15:34,微博 weibo.com,8,16,4
CgBUir9OX,5 月 23 日，AMPCamp 登录上海 大数据金牌训练营 – AMPCamp 来中国了！ 主办方英特尔将提供现场培训并包含动手实验课程，活动免费  ,无,无,2015-05-06 19:49,微博 weibo.com,5,11,8
CfH461pJI,"Finally, Spark RDD DAG visualization http://t.cn/RAnDuLv  ",无,无,2015-04-30 19:07,微博 weibo.com,8,69,6
CeuJZBq53,近期有不少 Spark 用户来邮件询问一些使用上的问题，并附上错误日志。但还请不要用截图的方式发日志……体积大、看不全、看不清，还没法 grep  ,无,无,2015-04-22 21:54,微博 weibo.com,3,2,12
﻿CbgaL3Y7G,Spark 2.0: Rearchitecting Spark for Mobile Platforms http://t.cn/RA5K5XA 近年来移动设备的数量和计算能力的激增不可小觑，Spark也要拥抱移动端了。  ,无,无,2015-04-01 15:18,微博 weibo.com,4,14,6
CbaP09Lcr,五年前 Spark 的第一个 commit，那时候 Mesos 还叫 Nexus，RDD 这个名词则还没出现。  原图 ,http://ww2.sinaimg.cn/large/7045e02dgw1eqpfmuqqg2j20yw06c77c.jpg,无,2015-04-01 01:40,微博 weibo.com,3,0,4
C9ICF5je6,被19%给shock到又没时间读论文的同学可以看这篇summary http://t.cn/RAzsqcH I completely misunderstood Kay Ousterhout's paper Making Sense of Performance in Data Analytics Frameworks to be the comparison on the left.  原图 ,http://ww1.sinaimg.cn/large/7045e02dgw1eqedhnjjr6j20go09440d.jpg,无,2015-03-22 12:03,微博 weibo.com,0,53,2
C8JXq6lo9,花了小半天清掉700+邮件，神清气爽，不过TODO list又长了不少…  ,无,无,2015-03-16 01:36,微博 weibo.com,1,0,3
C72LBi468,RescueTime真是个不错的时间管理工具，dashboard非常棒，一天的时间都花到哪里去了一清二楚。  ,无,无,2015-03-04 21:49,微博 weibo.com,6,14,6
C530G3GWz,我家老爸目前日常上网习惯：VPN/SSH、Gmail、两阶段认证、看新闻主要用Google+和Feedly，刚刚饶有兴趣地开始摆弄我的老Ubuntu ThinkPad，第一个问题是能翻墙不？  ,无,无,2015-02-19 18:45,Android客户端,9,5,9
C4QwFh1Mp,刚收到了百度员工关怀的新年短信…  ,无,无,2015-02-18 10:58,微博 weibo.com,5,4,6
C3ACQyM01,各位Spark contributor们，请在GitHub和JIRA上统一按“名 姓”的格式写清楚自己的姓名吧，你们知道Patrick整理credit list的时候猜哪个是姓哪个是名猜得多辛苦么，都用上社工了……各位也不希望自己的名字在credit list上被写错吧 [呵呵]  ,无,无,2015-02-10 04:39,微博 weibo.com,6,1,7
C2F7oFyGe,经过BART门口的时候，卖报的黑人大叔跟我打招呼：早上嚎！逆嚎！  ,无,无,2015-02-04 02:15,Android客户端,10,0,4
C1XFCuMx5,第二场，前两天我砖博客上streaming K-means的作者Jeremy Freeman。  原图 ,http://ww4.sinaimg.cn/large/7045e02djw1eore8ewuuij218g0p1gpx.jpg,无,2015-01-30 11:39,Android客户端,1,10,0
C1Xx4nHK5,Spark meetup，我砖厂内举行的第二次  台上的是Hossein，主题是Visualization with Databricks Cloud  原图 ,http://ww1.sinaimg.cn/large/7045e02djw1eordmi2x5ij218g0p1tcy.jpg,无,2015-01-30 11:18,Android客户端,4,3,3
C1KFQgTUe,Introducing streaming k-means in Spark 1.2 http://t.cn/RZ3rZJf 这篇的作者就是在第一届Spark Summit上展示用Spark Streaming做斑马鱼脑神经研究的Jeremy Freeman http://t.cn/RZ3rZJI  ,无,无,2015-01-29 02:34,微博 weibo.com,6,14,2
C1Hn5iYTj,今早在BART上看到一个大叔，脖子上刺的竟然是欧拉公式，真是酷炫。  原图 ,http://ww3.sinaimg.cn/large/7045e02djw1eope9y9ks8j20p118gdjh.jpg,无,2015-01-28 18:09,Android客户端,18,9,8
C0gq8aW52,生平第一次摔裂手机屏幕纪念  美国  ,无,无,2015-01-19 07:42,Android客户端,10,1,2
BFeXSyreU,我浙竟然排在35，这是一毕业都跑去创业了么？不过看到第40的北大，也就释怀了。  ,无,无,2015-01-12 20:38,超话,2,0,6
BEDTOayBH,#Spark# 祥瑞刚发了一篇关于Spark 1.2.0新引入的ML Pipelines的blog http://t.cn/RZxyhF1  ,无,无,2015-01-08 22:16,微博 weibo.com,3,84,4
BEgSQFxUM,Grammarly查语法错误实在太赞，买了一年的服务。  ,无,无,2015-01-06 11:41,微博 weibo.com,7,1,7
BDFuZ9dX0,不知道为什么Ubuntu 13.10下PPTP比Mac OS X10.9下PPTP或L2TP都稳定得多，连接基本不会失败，连上之后也不太会断开。于是我现在开着台装Ubuntu的X61连PPTP，再从Mac SSH隧道到Ubuntu，最后配合Proxifier做全局代理 #新年新气象#  ,无,无,2015-01-02 12:30,微博 weibo.com,1,2,2
BDxponIME,14年最后一天和15年第一天收到的新年快乐竟然大都来自Spark用户和contributor们，太感动了   ,无,无,2015-01-01 15:55,微博 weibo.com,11,0,4
BCY90iaCt,最近对2048有点上瘾，干脆一气儿打通关了，从此再没什么念想  原图 ,http://ww1.sinaimg.cn/large/7045e02dgw1enpqy8fy0nj20dw0dwta5.jpg,无,2014-12-28 22:08,微博 weibo.com,37,13,29
BC3yhBndd,"仅从姓名上看，Spark 1.2.0的credits list里大约1/3的contributor是华人。不过有好几位的姓名被写反了，基本上都是因为JIRA和GitHub上姓名不对导致的。请大家注意下自己英文名的姓名顺序。以我的名字为例，可以是“Cheng Lian”，也可以是“Lian, Cheng”，但不要写成“Lian Cheng”。  ",无,无,2014-12-22 22:04,微博 weibo.com,4,2,1
BBRVItDev,近一两年越来越不待见OOP，但是只有一些零星的想法，并不系统。这两天在读Ben Moseley和Peter Marks的这篇Out of the Tar Pit，文章主要分析软件系统复杂性及其解决之道，其中5.1节把OOP劈头盖脸骂了个遍，真是爽快 http://t.cn/Rzdrhog  ,无,无,2014-12-21 16:29,微博 weibo.com,10,28,5
BBH7ChzPp,"终于明白为什么用IDEA建Hive的Maven工程时总是莫名标红，原来是Thrift生成的4.4M大的ThriftHiveMetastore.java超出IDEA的code inspection预设限制，该文件内容没有被解析,相关定义找不到。参照SO的这篇将限制调大到5M终于解决 http://t.cn/RzrZser 不过这么做之后最后给IDEA分至少1G的内存。  ",无,无,2014-12-20 12:58,微博 weibo.com,2,15,5
BBimkwLpw,Hive 0.12.0默认的hive-defaults.xml.template中有一处XML close tag不匹配，Hive 0.14.0则是POM里包含SNAPSHOT依赖无法编译，whatever…  ,无,无,2014-12-17 21:55,微博 weibo.com,0,1,6
BAVCaEa52,前几天看到知乎上那篇学术界五大争吵的文章，想起数据库圈子早期也有一场大战，就是两位图灵奖得主Charles Bachman和Edgar Codd关于网状模型和关系模型之争。这场争斗直接导致了关系模型之父Codd郁郁而终。@吴甘沙 有一份特别生动的书稿记录了这段光辉历史，可惜不知这本书何时才能面世 :-)  ,无,无,2014-12-15 12:01,微博 weibo.com,1,9,4
BAwQ9oy0l,非常赞的斯坦福Haskell课程，连编译器实现原理都讲了 http://t.cn/zRq7k8T  ,无,无,2014-12-12 20:57,微博 weibo.com,24,246,19
BA0EX0pGM,Hadoop的Configuration类应该改名成Landfill，表意更精准，简单又好记  ,无,无,2014-12-09 11:01,微博 weibo.com,3,1,2
BylxVz5Sn,微软对开发者才是真爱，基础设施做得那叫一个到位。Strong-named assembly基本解决组件间的dependency hell，即便是罕见的要在单个模块A内引用另一个模块B的多个不同版本的情况，也可以通过类似shading的extern alias解决。  ,无,无,2014-11-28 12:31,微博 weibo.com,3,5,3
BybTdyfoS,Java中A依赖B、C，而B、C各自依赖D的两个不同版本这种dependency hell，目前貌似除了shading没有别的办法？.NET中用带版本的strong name就好了。  ,无,无,2014-11-27 11:56,微博 weibo.com,0,6,6
By0ZH5X42,一大早起来等着开例会，然后被告知感恩节放假……压根儿没意识到这周放假呀，看邮件列表上大伙一直都在干活  ,无,无,2014-11-26 08:12,微博 weibo.com,4,0,4
BxViQCqQD,北京第四次Spark meetup，Spark SQL主题。我和Spark MLlib committer孟祥瑞 @StackOverflow 会参加 http://t.cn/RzbRHci 发布30秒就有三个RSVP了，没抢到第一 T_T  ,无,无,2014-11-25 17:43,微博 weibo.com,3,14,6
BxKUcozvv,昨天提到Spark SQL的contributor有大约一半是华人，这是个好事儿。但与此项对应的，Spark SQL代码注释中的语法错误和拼写错误也不少……请大家贡献代码的时候至少开一下spell checking吧 :-)  ,无,无,2014-11-24 15:14,微博 weibo.com,6,2,3
Bxve6mvUc,看代码看到一处 a <= b 这样的表达式，纳闷 Scala 里左箭头是怎么个意思，愣了半天才反应过来是小于等于   ,无,无,2014-11-22 23:20,微博 weibo.com,16,19,18
Bx7uBb8bA,似乎没在别的语言里见过跟 Scala 的 partial function 等价的结构。这个东西初看起来可以省略一些“不必要”的 case branch，但却很可能把编译错误升级为运行时错误，得不偿失。  ,无,无,2014-11-20 10:54,微博 weibo.com,0,7,2
BwXor9asy,刚发现有 Atlassian Connector for IntelliJ IDEA 这么个 IDEA 插件，可以很方便地根据 JIRA issue 开 IDEA task，建 feature branch 并标示 JIRA ticket 状态，十分方便。  ,无,无,2014-11-19 09:12,微博 weibo.com,0,11,1
BwwQZ6NcL,北京宽带通，mtr weibo.com结果，241.8.142.219.broad.bj.bj.dynamic.163data.com.cn 丢包率近90%，改个名字叫宽带不通吧  ,无,无,2014-11-16 13:38,微博 weibo.com,0,2,1
BwmWlx8eI,Reviewable http://t.cn/R7sATVG 解决了我至少三个在GitHub上做code review的痛点：1. 对于带有多个commit的PR，不方便review给定文件任意两个revision之间的差异；2. 没有right margin，看不出一行是否超长；3. review意见最好全部写完后一并发出，以防自己一边review对方一边改代码造成混乱  ,无,无,2014-11-15 12:24,微博 weibo.com,2,8,0
BwhdizaXf,在Josh的PR上看到个奇怪的图标，点进去发现是一个叫Reviewable的code review工具，细节做得很到位， 十分好用，立马就用在自己的PR上了 http://t.cn/R7FMvnd  ,无,无,2014-11-14 21:49,微博 weibo.com,4,24,1
BvwibbxDe,IDEA的Scala插件编译错误提示越来越不可靠了，时不时随机出现正确可编译的代码被标红，但是随便做一处修改再撤销，标红处又恢复正常。基本只能靠SBT后台持续编译。  ,无,无,2014-11-09 22:22,微博 weibo.com,1,3,10
﻿Bv9tW3Ecy,各种伟人传记里时不时会引用叙述对象的书信。书信这种东西应该是很私密的呀。几十年后写今天的伟人，历史学家会不会翻看他们的email以及QQ/Skype/Gtalk聊天记录？Google会开放已亡故多年的伟人的有重大历史意义的聊天记录和邮件吗？ 呼和浩特·呼和浩特白塔国际机场  显示地图 ,无,呼和浩特·呼和浩特白塔国际机场,2014-11-07 12:17,Android客户端,0,0,2
BuZW0fyIS,（我已经懒得吐槽微博转发、评论乱切时间线这个by design了……）  原图 ,http://ww4.sinaimg.cn/large/7045e02dgw1em1557fsyuj20c806twey.jpg,无,2014-11-06 11:59,微博 weibo.com,2,9,3
BuRhUamJY,原文讨论的故障情况下自动降级可以称作 graceful degration 吧Fails：Fail-Fast、Fail-Over、Fail-Safe  ,无,无,2014-11-05 13:58,微博 weibo.com,0,3,2
Buy0Mfdl8,Spark 100 PR merge 成就达成   ,无,无,2014-11-03 12:54,微博 weibo.com,18,1,2
Bu5xcC9kG,Kryo 2.21，不带你这样的……发布到Maven上的artifact，POM跟binary竟然不一致   ,无,无,2014-10-31 12:24,微博 weibo.com,1,0,5
BtFAwi9n5,近期频繁收到标识来自北京的陌生手机号码来电，接通后无人应答，两秒后对方挂机，如回拨则被告知号码不存在。一天能碰上四五回。这种既不是诈骗又不是广告的骚扰电话背后是个什么逻辑？  ,无,无,2014-10-28 18:21,微博 weibo.com,0,0,12
